Input Number,Execution Time (seconds)
1,0.01099705696105957
10001,0.07699751853942871
20001,0.05000042915344238
30001,0.049001216888427734
40001,0.05200362205505371
50001,0.05199456214904785
60001,0.05399632453918457
70001,0.12301111221313477
80001,0.05799269676208496
90001,0.05600142478942871
100001,0.05899834632873535
110001,0.05700278282165527
120001,0.06099987030029297
130001,0.05599641799926758
140001,0.05899500846862793
150001,0.0602719783782959
160001,0.07200026512145996
170001,0.07384777069091797
180001,0.06640052795410156
190001,0.061795711517333984
200001,0.060004234313964844
210001,0.06100130081176758
220001,0.05899620056152344
230001,0.12799930572509766
240001,0.06100606918334961
250001,0.059996604919433594
260001,0.061002254486083984
270001,0.0650017261505127
280001,0.062006235122680664
290001,0.06099438667297363
300001,0.06400203704833984
310001,0.06400012969970703
320001,0.06200122833251953
330001,0.06201481819152832
340001,0.0650033950805664
350001,0.06701064109802246
360001,0.060999155044555664
370001,0.13100218772888184
380001,0.06600356101989746
390001,0.06300234794616699
400001,0.06199789047241211
410001,0.06400036811828613
420001,0.061002254486083984
430001,0.06400036811828613
440001,0.06299805641174316
450001,0.062386274337768555
460001,0.06971335411071777
470001,0.06311392784118652
480001,0.0617985725402832
490001,0.07514572143554688
500001,0.07520365715026855
510001,0.07172107696533203
520001,0.06620335578918457
530001,0.06749725341796875
540001,0.12987828254699707
550001,0.06474733352661133
560001,0.06412386894226074
570001,0.06928324699401855
580001,0.06715941429138184
590001,0.06731247901916504
600001,0.06786537170410156
610001,0.06582045555114746
620001,0.06711840629577637
630001,0.06614279747009277
640001,0.06166672706604004
650001,0.07017850875854492
660001,0.06644868850708008
670001,0.0664365291595459
680001,0.06347894668579102
690001,0.0673983097076416
700001,0.0678856372833252
710001,0.06361103057861328
720001,0.12777304649353027
730001,0.07799839973449707
740001,0.06800460815429688
750001,0.06799864768981934
760001,0.06599736213684082
770001,0.06900334358215332
780001,0.06799983978271484
790001,0.06499838829040527
800001,0.07500314712524414
810001,0.07991576194763184
820001,0.07452178001403809
830001,0.07327055931091309
840001,0.0670015811920166
850001,0.0670011043548584
860001,0.06600451469421387
870001,0.06799912452697754
880001,0.13600683212280273
890001,0.06999826431274414
900001,0.0670003890991211
910001,0.06700277328491211
920001,0.06600093841552734
930001,0.08100152015686035
940001,0.08001232147216797
950001,0.07899904251098633
960001,0.06800389289855957
970001,0.0670006275177002
980001,0.06699943542480469
990001,0.06900429725646973
1000001,0.06038665771484375
1010001,0.06334304809570312
1020001,0.0723874568939209
1030001,0.06813168525695801
1040001,0.06825137138366699
1050001,0.07730269432067871
1060001,0.13610577583312988
1070001,0.06886959075927734
1080001,0.07543563842773438
1090001,0.07307720184326172
1100001,0.08671736717224121
1110001,0.09125447273254395
1120001,0.08252429962158203
1130001,0.07971572875976562
1140001,0.07507920265197754
1150001,0.07295060157775879
1160001,0.07500195503234863
1170001,0.07644081115722656
1180001,0.07230424880981445
1190001,0.07446861267089844
1200001,0.07341408729553223
1210001,0.07860660552978516
1220001,0.15128064155578613
1230001,0.07152605056762695
1240001,0.07340526580810547
1250001,0.0769953727722168
1260001,0.07700610160827637
1270001,0.07499885559082031
1280001,0.07400035858154297
1290001,0.07599973678588867
1300001,0.07500505447387695
1310001,0.07599711418151855
1320001,0.07400250434875488
1330001,0.07399678230285645
1340001,0.07800006866455078
1350001,0.07500147819519043
1360001,0.0760033130645752
1370001,0.07700133323669434
1380001,0.1650078296661377
1390001,0.08641910552978516
1400001,0.08269119262695312
1410001,0.07610630989074707
1420001,0.07599830627441406
1430001,0.07699823379516602
1440001,0.07600712776184082
1450001,0.07499504089355469
1460001,0.07799911499023438
1470001,0.07499861717224121
1480001,0.07700085639953613
1490001,0.07493829727172852
1500001,0.08023500442504883
1510001,0.07182574272155762
1520001,0.07453250885009766
1530001,0.07719779014587402
1540001,0.15121841430664062
